,Label,Area in px²,Area in um²,Mean,XM,YM,X center biggest circle,Y center biggest circle,%Area,AR,Circ.,Round,Solidity,MScore,Length cell vector,Absolute angle,Rolling ball angle,Relative angle
15,15,866.0,365.88500000000005,1.0,198.17898383371823,332.1062355658199,198,332,100.0,,0.9375034692486968,,,11.766883821346099,0.0,0.0,0.0,0.0
16,16,1907.0,805.7075000000001,1.0,703.1022548505506,337.6858940744625,678,334,100.0,,0.4147715380335389,,,11.962433609379705,43.909491009500854,-1.4341191270476146,-1.7624841707539236,0.3283650437063091
17,17,2171.0,917.2475000000001,1.0,399.59327498848455,352.45647167204055,383,362,100.0,,0.441104053266903,,,14.54414002447138,44.820966213878954,-2.086129655876821,2.347045628556836,1.8500100227459297
18,18,3436.0,1451.71,1.0,1021.8169383003492,385.3652502910361,1023,369,100.0,,0.25139301592948227,,,13.265264582403432,27.804225346835306,0.13568539521009376,2.227540547850937,-2.0918551526408433
19,19,1953.0,825.1425,1.0,859.6057347670251,390.9769585253456,873,415,100.0,,0.38508679557191916,,,11.383486582768908,46.057981862239195,2.64445673136707,-2.7472921232573535,-0.8914364525551631
20,20,6610.0,2792.7250000000004,1.0,1143.2717095310136,421.5968229954614,1143,426,100.0,,0.6402444600471118,,,65.58296700977031,56.304921366573474,-3.0374731861373587,2.1132817047370147,1.132430416305213
21,21,6717.0,2837.9325000000003,1.0,489.16406133690634,454.76522256959953,487,460,100.0,,0.6149884743679424,,,64.02559591578765,56.27053727344015,-2.8314694821495348,-1.9460089962752314,-0.8854604858743034
22,22,5802.0,2451.3450000000003,1.0,178.46225439503618,463.84660461909687,186,452,98.67346938775509,,0.18292686634279504,,,16.425104954956428,16.446884203398525,0.46880461907381743,2.865133939224612,-2.3963293201507945
23,23,7504.0,3170.4400000000005,1.0,1311.7806503198294,490.0061300639659,1322,501,100.0,,0.3995150123977771,,,46.51301742858032,77.03047316924216,2.4343570802613494,2.042016347084829,0.3923407331765207
24,24,2679.0,1131.8775,1.0,686.9671519223591,452.8566629339306,670,456,100.0,,0.4548141624651227,,,18.61162721440958,47.90850122677518,-1.7658527096247003,-2.1512689152890676,0.3854162056643672
25,25,1314.0,555.1650000000001,1.0,577.9672754946728,461.9855403348554,578,462,100.0,,0.9493634922475186,,,18.571132180848547,0.0,0.0,0.0,0.0
26,26,5203.0,2198.2675000000004,1.0,841.3426869113973,488.75821641360756,828,493,100.0,,0.43738345158458564,,,35.17320272086794,61.98870674012815,-1.9314841503548283,-2.6776782466864497,0.7461940963316213
27,27,2396.0,1012.3100000000001,1.0,375.2228714524207,499.1932387312187,399,503,100.0,,0.38563592513783534,,,14.072997533242983,50.1422975141746,1.7310270110729586,2.504151629676637,-0.7731246186036784
28,28,2699.0,1140.3275,1.0,982.6017043349389,549.776213412375,987,519,100.0,,0.35048833206264757,,,14.4521592042399,54.494763196668664,0.1625821559662802,2.87000125614215,-2.70741910017587
29,29,2161.0,913.0225,1.0,284.1129106894956,540.9157797316058,308,554,99.95374653098983,,0.3446673324455193,,,11.310481909692967,45.15383726840642,2.091010694421646,2.6960876916314156,-0.6050769972097692
30,30,3400.0,1436.5000000000002,1.0,47.09676470588235,569.8141176470589,70,566,99.88249118683902,,0.24412174396023975,,,12.744059189331777,40.2786446968532,1.2871789525328023,-3.141592653589793,-1.854413701056991
31,31,2361.0,997.5225000000002,1.0,1226.2816603134265,558.3587462939432,1194,537,100.0,,0.3217870544043646,,,11.566725055857777,57.90785421208873,-0.9858967893802852,2.3198055386988847,2.9774829791004165
32,32,2480.0,1047.8000000000002,1.0,664.8088709677419,551.6040322580645,690,558,100.0,,0.3696723950841515,,,13.976354848218591,52.85542411132622,1.8558129292817533,-2.419215782821486,-2.008156595076347
33,33,6490.0,2742.025,1.0,613.7651771956856,640.4194144838212,641,643,100.0,,0.26199532265849296,,,26.345327811143513,71.69087481082839,1.6379239348885752,-2.468557957943176,-2.176703414347835
34,34,3185.0,1345.6625000000001,1.0,440.83547880690736,596.410989010989,485,606,100.0,,0.2697706755617216,,,13.175424943070693,75.27982234897053,1.78867936674642,-2.200960670040673,-2.2935452703924937
35,35,2027.0,856.4075000000001,1.0,787.9906265416872,618.3828317710903,802,616,100.0,,0.5296638737076974,,,16.270636641933965,37.656340767525464,1.3838170568759856,-2.7875434667035277,-2.111824783600073
36,36,2247.0,949.3575000000001,1.0,280.7659101023587,621.0360480640854,298,629,100.0,,0.4283356497968943,,,14.63254070768663,44.4135433595279,2.0203844404336846,2.759766255223873,-0.7393818147901885
37,37,7700.0,3253.2500000000005,1.0,1218.9074025974026,683.5506493506493,1154,665,100.0,,0.17950400136382305,,,21.449066088890156,143.05362130336437,-1.2887861902882112,2.592048875569661,2.4023502413217144
38,38,5102.0,2155.5950000000003,1.0,198.40395923167387,670.9901999215994,212,675,100.0,,0.45587208286312586,,,35.939519860075386,64.60624815629168,1.8268432155106509,2.9195334316014065,-1.0926902160907557
39,39,1171.0,494.74750000000006,1.0,346.98889837745514,654.0785653287788,354,655,100.0,,0.6891572901270748,,,11.938948131989406,22.688255650103304,1.699707098478888,2.69937901113753,-0.9996719126586421
40,40,2275.0,961.1875000000001,1.0,1036.036043956044,718.5986813186813,1023,688,100.0,,0.31961100018301586,,,11.05839263827671,50.78686249082581,-0.42401160647385827,2.90014459883142,2.9590291018743082
41,41,2104.0,888.94,1.0,47.21768060836502,696.3826045627377,62,692,100.0,,0.4659532623563934,,,14.87495388723962,44.915666539576634,1.263567268813811,-3.1356097886384275,-1.884008249727348
42,42,1773.0,749.0925000000001,1.0,569.1460800902425,705.2447828539199,546,700,100.0,,0.4193149137613537,,,11.214227939452604,41.97198402852839,-1.3551676553133802,-2.390884856189019,1.0357172008756388
43,43,865.0,365.46250000000003,1.0,749.1248554913295,700.0936416184971,749,700,100.0,,0.9509892252142296,,,11.9212663199656,0.0,0.0,0.0,0.0
44,44,2240.0,946.4000000000001,1.0,858.0008928571428,750.1566964285714,851,785,100.0,,0.32694480580306046,,,11.13307609093829,55.10093928298098,-2.9276020660574202,-2.9975989583899234,0.06999689233250325
45,45,3017.0,1274.6825000000001,1.0,205.79482930062977,731.6029168047729,247,734,100.0,,0.29236170417237967,,,13.510169702446484,71.10619428886376,1.627900477691085,2.893306626475927,-1.2654061487848418
